date,x1,x2,x3,x4,x5,x6,location
1/31/2022,82,35,2,1,3,88,8
1/30/2022,88,36,3,2,3,72,8
1/29/2022,74,28,5,2,3,80,8
1/28/2022,96,29,5,1,2,66,8
1/27/2022,136,27,9,1,3,86,8
1/26/2022,135,22,14,2,4,114,8
1/25/2022,75,32,8,1,4,108,8
1/24/2022,76,27,10,1,3,52,8
1/23/2022,138,31,2,1,2,54,8
1/22/2022,121,27,13,2,4,108,8
1/21/2022,108,14,14,1,4,98,8
1/20/2022,114,20,15,1,4,88,8
1/19/2022,117,28,9,1,4,90,8
1/18/2022,80,24,20,0,4,100,8
1/17/2022,65,20,15,1,3,78,8
1/16/2022,90,25,9,1,3,56,8
1/15/2022,101,30,9,0,3,84,8
1/14/2022,73,20,17,2,4,94,8
1/13/2022,66,18,16,2,3,72,8
1/12/2022,73,25,9,2,3,74,8
1/11/2022,78,20,10,1,3,60,8
1/10/2022,175,24,8,0,3,68,8
1/9/2022,172,21,11,2,6,178,8
1/8/2022,138,32,7,0,6,162,8
1/7/2022,148,27,17,3,5,118,8
1/6/2022,126,24,17,3,5,124,8
1/5/2022,110,19,21,3,5,116,8
1/4/2022,90,10,18,3,4,96,8
1/3/2022,86,17,15,2,3,84,8
1/2/2022,99,17,13,1,2,74,8
1/1/2022,69,23,8,1,3,82,8
12/31/2021,51,22,9,2,2,60,8
12/30/2021,64,23,9,1,2,54,8
12/29/2021,141,25,7,1,2,62,8
12/28/2021,130,24,9,0,4,132,8
12/27/2021,71,14,12,1,4,106,8
12/26/2021,57,20,12,1,4,58,8
12/25/2021,69,27,8,1,2,42,8
12/24/2021,142,25,9,0,3,58,8
12/23/2021,124,16,16,2,5,118,8
12/22/2021,107,23,19,2,4,108,8
12/21/2021,118,10,19,1,3,94,8
12/20/2021,98,23,8,2,3,112,8
12/19/2021,70,20,6,9,2,92,8
12/18/2021,61,24,2,9,2,64,8
12/17/2021,77,21,4,8,0,50,8
12/16/2021,128,23,4,8,2,76,8
12/15/2021,97,12,8,16,5,102,8
12/14/2021,83,20,6,19,3,72,8
12/13/2021,62,16,13,17,2,76,8
12/12/2021,108,17,10,7,2,48,8
12/11/2021,135,25,3,1,3,98,8
12/10/2021,112,20,7,1,5,100,8
12/9/2021,107,5,8,1,5,88,8
12/8/2021,80,4,11,1,4,88,8
12/7/2021,102,26,7,1,2,54,8
12/6/2021,107,26,12,1,3,82,8
